date,trading_symbol,target_prob,exit_signal_prob,target_model,exit_signal_model,signal,signal_strength
2024-10-23,AXISBANK,0.962687932061237,0.4886524766229742,catboost,catboost,BUY,0.962687932061237
2024-10-23,BHARTIARTL,0.5363107310942139,0.4095341285068688,catboost,catboost,HOLD,
2024-10-23,ICICIBANK,0.9113677740097046,0.14342574059449056,xgboost,catboost,BUY,0.9113677740097046
2024-10-23,RELIANCE,0.5445023701534005,0.5,catboost,catboost,HOLD,
2024-10-23,SBIN,0.44209693659487265,0.49824687946572704,catboost,lightgbm,HOLD,
2024-10-23,SUNPHARMA,0.6512188368098027,0.47502081356110454,lightgbm,lightgbm,BUY,0.6512188368098027
2024-10-23,TATAMOTORS,0.5567674265783288,0.20163766024450075,catboost,lightgbm,HOLD,
2024-10-23,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-10-23,ULTRACEMCO,0.5329456925392151,0.49053580584002826,xgboost,catboost,HOLD,
2024-10-24,AXISBANK,0.9577727769124622,0.4743760142501173,catboost,catboost,BUY,0.9577727769124622
2024-10-24,BHARTIARTL,0.7787782948143732,0.31309882938568667,catboost,catboost,BUY,0.7787782948143732
2024-10-24,ICICIBANK,0.9219013452529907,0.17304915094711623,xgboost,catboost,BUY,0.9219013452529907
2024-10-24,RELIANCE,0.7915564101909055,0.5,catboost,catboost,BUY,0.7915564101909055
2024-10-24,SBIN,0.44209693659487265,0.49824687946572704,catboost,lightgbm,HOLD,
2024-10-24,SUNPHARMA,0.5813498155792136,0.47502081356110454,lightgbm,lightgbm,HOLD,
2024-10-24,TATAMOTORS,0.5567674265783288,0.18066396342278834,catboost,lightgbm,HOLD,
2024-10-24,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-10-24,ULTRACEMCO,0.6379550695419312,0.49053580584002826,xgboost,catboost,BUY,0.6379550695419312
2024-10-25,AXISBANK,0.8640480862784954,0.4743760142501173,catboost,catboost,BUY,0.8640480862784954
2024-10-25,BHARTIARTL,0.748168699546121,0.31309882938568667,catboost,catboost,BUY,0.748168699546121
2024-10-25,ICICIBANK,0.8438587188720703,0.22845991707556657,xgboost,catboost,BUY,0.8438587188720703
2024-10-25,RELIANCE,0.8390456545417558,0.5,catboost,catboost,BUY,0.8390456545417558
2024-10-25,SBIN,0.4957379800890576,0.4830705701638933,catboost,lightgbm,HOLD,
2024-10-25,SUNPHARMA,0.5813498155792136,0.47502081356110454,lightgbm,lightgbm,HOLD,
2024-10-25,TATAMOTORS,0.5567674265783288,0.18066396342278834,catboost,lightgbm,HOLD,
2024-10-25,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-10-25,ULTRACEMCO,0.5684974789619446,0.49053580584002826,xgboost,catboost,HOLD,
2024-10-28,AXISBANK,0.9416644632803263,0.4743760142501173,catboost,catboost,BUY,0.9416644632803263
2024-10-28,BHARTIARTL,0.8090323951113693,0.35152442036863074,catboost,catboost,BUY,0.8090323951113693
2024-10-28,ICICIBANK,0.16691647469997406,0.5171612974173707,xgboost,catboost,SELL,0.5171612974173707
2024-10-28,RELIANCE,0.8980433088409936,0.5,catboost,catboost,BUY,0.8980433088409936
2024-10-28,SBIN,0.42335915721394285,0.49824687946572704,catboost,lightgbm,HOLD,
2024-10-28,SUNPHARMA,0.44946949178986445,0.5235802838381035,lightgbm,lightgbm,SELL,0.5235802838381035
2024-10-28,TATAMOTORS,0.5567674265783288,0.2538764456074433,catboost,lightgbm,HOLD,
2024-10-28,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-10-28,ULTRACEMCO,0.6208755970001221,0.49053580584002826,xgboost,catboost,BUY,0.6208755970001221
2024-10-29,AXISBANK,0.6979977380700466,0.4743760142501173,catboost,catboost,BUY,0.6979977380700466
2024-10-29,BHARTIARTL,0.9079772203769284,0.35152442036863074,catboost,catboost,BUY,0.9079772203769284
2024-10-29,ICICIBANK,0.07363826781511307,0.6658705093107244,xgboost,catboost,SELL,0.6658705093107244
2024-10-29,RELIANCE,0.8538008896376601,0.5,catboost,catboost,BUY,0.8538008896376601
2024-10-29,SBIN,0.4218526175561831,0.48553528902720866,catboost,lightgbm,HOLD,
2024-10-29,SUNPHARMA,0.47328866636780437,0.47502081356110454,lightgbm,lightgbm,HOLD,
2024-10-29,TATAMOTORS,0.5567674265783288,0.2662369929308444,catboost,lightgbm,HOLD,
2024-10-29,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-10-29,ULTRACEMCO,0.4740146994590759,0.5067036791282372,xgboost,catboost,SELL,0.5067036791282372
2024-10-30,AXISBANK,0.8310016265274105,0.4743760142501173,catboost,catboost,BUY,0.8310016265274105
2024-10-30,BHARTIARTL,0.9146044042764628,0.315816087218682,catboost,catboost,BUY,0.9146044042764628
2024-10-30,ICICIBANK,0.06761670112609863,0.6508247663927018,xgboost,catboost,SELL,0.6508247663927018
2024-10-30,RELIANCE,0.8224165494996357,0.5,catboost,catboost,BUY,0.8224165494996357
2024-10-30,SBIN,0.42363298086302714,0.48553528902720866,catboost,lightgbm,HOLD,
2024-10-30,SUNPHARMA,0.5094824694861064,0.47502081356110454,lightgbm,lightgbm,HOLD,
2024-10-30,TATAMOTORS,0.5567674265783288,0.259053554718975,catboost,lightgbm,HOLD,
2024-10-30,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-10-30,ULTRACEMCO,0.48606061935424805,0.5067036791282372,xgboost,catboost,SELL,0.5067036791282372
2024-10-31,AXISBANK,0.7933114869698947,0.4743760142501173,catboost,catboost,BUY,0.7933114869698947
2024-10-31,BHARTIARTL,0.926743994487112,0.315816087218682,catboost,catboost,BUY,0.926743994487112
2024-10-31,ICICIBANK,0.17215171456336975,0.5648036580538631,xgboost,catboost,SELL,0.5648036580538631
2024-10-31,RELIANCE,0.7609369691392772,0.5,catboost,catboost,BUY,0.7609369691392772
2024-10-31,SBIN,0.42363298086302714,0.49824687946572704,catboost,lightgbm,HOLD,
2024-10-31,SUNPHARMA,0.502572433897733,0.47502081356110454,lightgbm,lightgbm,HOLD,
2024-10-31,TATAMOTORS,0.5781323345988737,0.24779136903677937,catboost,lightgbm,HOLD,
2024-10-31,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-10-31,ULTRACEMCO,0.5303167104721069,0.5067036791282372,xgboost,catboost,SELL,0.5067036791282372
2024-11-01,AXISBANK,0.8958972854348913,0.4743760142501173,catboost,catboost,BUY,0.8958972854348913
2024-11-01,BHARTIARTL,0.9373414985767896,0.33590058965003305,catboost,catboost,BUY,0.9373414985767896
2024-11-01,ICICIBANK,0.2660443186759949,0.5179425188254769,xgboost,catboost,SELL,0.5179425188254769
2024-11-01,RELIANCE,0.8436709899198297,0.5,catboost,catboost,BUY,0.8436709899198297
2024-11-01,SBIN,0.3968149112445865,0.49824687946572704,catboost,lightgbm,HOLD,
2024-11-01,SUNPHARMA,0.49524483917422507,0.5235802838381035,lightgbm,lightgbm,SELL,0.5235802838381035
2024-11-01,TATAMOTORS,0.5938861065308662,0.17562376174303945,catboost,lightgbm,HOLD,
2024-11-01,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-01,ULTRACEMCO,0.5556210279464722,0.45442737916633014,xgboost,catboost,HOLD,
2024-11-04,AXISBANK,0.9274667191103229,0.4886524766229742,catboost,catboost,BUY,0.9274667191103229
2024-11-04,BHARTIARTL,0.9205200902596313,0.3980165830652679,catboost,catboost,BUY,0.9205200902596313
2024-11-04,ICICIBANK,0.3281448781490326,0.2800292869642528,xgboost,catboost,HOLD,
2024-11-04,RELIANCE,0.6813537105822541,0.5,catboost,catboost,BUY,0.6813537105822541
2024-11-04,SBIN,0.38750150995803534,0.5404457099788242,catboost,lightgbm,SELL,0.5404457099788242
2024-11-04,SUNPHARMA,0.48134959902238045,0.5235802838381035,lightgbm,lightgbm,SELL,0.5235802838381035
2024-11-04,TATAMOTORS,0.5835633388036287,0.1393572812448553,catboost,lightgbm,HOLD,
2024-11-04,TITAN,0.5091577916609943,0.47502080935481245,lightgbm,lightgbm,HOLD,
2024-11-04,ULTRACEMCO,0.6708863377571106,0.5,xgboost,catboost,BUY,0.6708863377571106
2024-11-05,AXISBANK,0.9084733374629093,0.4743760142501173,catboost,catboost,BUY,0.9084733374629093
