Feature,Importance
nifty_corr_120d,0.02123896537327292
return_10d,0.015095117917256453
roc,0.013605288030952447
dist_to_sma200,0.013289147627981755
di_minus_14,0.013196693480650385
macd_line_lag20,0.013120764140006413
nifty_corr_20d,0.013052348746788489
corr_change,0.012957236694548017
trix,0.012500733691844498
cci_20,0.01247447855975194
month,0.012322688923506669
return_120d,0.011635195407700055
stochastic_k,0.011372789941573518
macd_histogram,0.011279902921181516
rsi_14_lag10,0.011201211211676776
stochastic_d,0.010891407932494082
zscore_20d,0.010617774361407152
rs_nifty_120d,0.010585077020035924
dist_to_lower_band,0.010206060996527523
day_of_month,0.01015738050054271
rs_nifty_20d,0.010088655512563409
adx_14,0.010032606548735112
macd_line,0.01000129648037296
return_60d,0.009826057998854953
williams_r,0.009706779792075518
macd_line_lag15,0.009652188178874015
mfi_14,0.009482398643645865
bollinger_width,0.009415938177884716
volume_oscillator,0.009400148461190205
nifty_corr_60d,0.009379470254415394
return_40d,0.009207002538171395
di_plus_14,0.009203859901355107
natr,0.009140237117890446
rs_nifty_60d,0.009047860942234687
macd_line_lag1,0.009044869537591985
macd_line_lag10,0.008598074475439362
rsi_14,0.008540909124576664
dist_to_upper_band,0.008513351130622132
sma_200,0.008493822705713704
return_20d,0.00818910321931629
rs_nifty_10d,0.008182814489203162
sector_strength,0.008028086655742223
atr_14,0.00800590016688964
macd_signal,0.007995175341579976
return_consistency,0.007918121636679914
rsi_14_lag2,0.007874039123271276
rsi_14_lag20,0.00781185874860649
atr_ratio,0.007811747315247065
macd_line_lag5,0.007795422338715918
macd_line_lag3,0.007757376604408161
ultosc,0.007739061120613802
rs_nifty_5d,0.0075256412184304166
var,0.007489191067316261
rsi_14_lag3,0.00730639700420394
return_3d,0.007264558637329903
atr_14_lag15,0.007195487968040762
rsi_14_lag15,0.0071594833137625935
high_low_range,0.0071152686560987275
atr_14_lag20,0.0071095210808134164
rsi_14_lag5,0.00697590258229107
volume_lag10,0.0068223550433675435
return_ratio_20_5,0.006782043495101873
atr_14_lag1,0.006715655684682955
stddev,0.006643162150443656
close,0.0065901672646408406
atr_14_lag5,0.006552061115830202
close_open_range,0.006469720792219027
volume_lag1,0.006401052844036614
atr_14_lag10,0.0063301188145999015
atr_14_lag3,0.00632829521392841
atr_14_lag2,0.006213599581349578
volume_roc_5d,0.006179837886115109
volume_lag20,0.006133394495069407
rsi_14_lag1,0.006102645602474732
macd_line_lag2,0.006068452352613942
return_5d,0.006039263212749139
volume_roc_10d,0.005920355029433266
volume_ratio_20d,0.005919079851327688
sma_20_lag20,0.005896463852469694
eom_14d,0.005840585687397485
volume_lag2,0.005795312605070839
volume_change,0.00564776537907784
bollinger_lower,0.005634124708088291
bollinger_upper,0.005470391815816216
volume_lag15,0.005435686658520839
volume_lag3,0.005427652708480677
prev_volume,0.005405899756176433
volume,0.00526953365252655
sma_50,0.005266361739647334
volume_roc_1d,0.0052586550789855135
high,0.005228782159737535
sma_20_lag10,0.005196318315637998
price_change,0.005064161717067575
volume_lag5,0.0050250140936497645
sma_20_lag15,0.004972005081964952
low,0.004953214987496223
ema_50,0.0049265795823037525
return_1d,0.004717334982816715
vpci_20d,0.004713458521775526
price_acceleration,0.004568349011791656
low_lag20,0.004539521710470279
high_lag1,0.004524227849323974
open_lag20,0.004493552213706189
sma_20_lag5,0.0044849762188947945
open_lag15,0.004417712046564018
high_lag15,0.004371916010576892
ema_20,0.004337931902392644
prev_close,0.004299503356168336
low_lag15,0.004288376081526154
close_lag15,0.004231377587201558
bop,0.0042151273251101054
high_lag20,0.004196757734829831
sma_20_lag2,0.004157694802715033
quarter,0.004138011743334994
sma_20,0.004130006108812612
open_lag10,0.0040276068174246605
low_lag3,0.0039758948009757395
close_lag10,0.003893571045917718
bollinger_middle,0.003871388081622697
high_lag10,0.003833210241086539
vama_20d,0.0037613966055281877
close_lag1,0.003757286404660976
low_lag1,0.003752773840888341
close_lag5,0.0037524771471622747
high_lag3,0.003737741160405015
nifty_corr_full,0.00367023369835201
sma_20_lag1,0.003658572283171832
open_lag1,0.003654402221687101
high_lag5,0.0036222463544913876
low_lag10,0.003585711366984029
high_lag2,0.003408674945673837
open_lag5,0.0034008731954795037
close_lag20,0.003379112740605311
open,0.0033771984648894157
open_lag3,0.0033694239626072056
sma_20_lag3,0.003186626254264223
close_lag3,0.00318090660584667
open_lag2,0.0031601544657715807
low_lag2,0.0031553973769950353
is_quarter_4,0.0030614680863751873
close_lag2,0.002968914163315072
low_lag5,0.0027835194446020417
cmf_20d,0.002487556437284332
market_regime,0.002120503355613352
is_quarter_2,0.0016383027246804293
volume_sma_20d,0.0016285940785036369
volume_sma_5d,0.001581273402483417
is_quarter_3,0.0014395725810231528
day_of_week,0.001402537618380103
volume_sma_50d,0.0013978236230327479
di_crossover,0.00137142885929424
volume_sma_10d,0.0012327874884790276
is_quarter_1,0.001136745667848001
volume_trend,0.0010302952799433071
is_weekday_1,0.000985281761063948
price_cmf_confirm,0.0008227415551251092
adx_trend_strength,0.0006754278328981978
is_weekday_3,0.000392709174586305
is_weekday_4,0.0003836274916565594
is_weekday_2,0.0002234111368251795
is_weekday_5,0.00011694422933084389
high_volume_signal,0.0001112151099443199
price_rsi_divergence,9.49382520930844e-05
is_month_start,8.547402338793646e-05
is_month_end,7.647203116063556e-05
is_year_end,0.0
pvt,0.0
is_quarter_start,0.0
is_quarter_end,0.0
is_year_start,0.0
breakout,0.0
