symbol,target,model,training_time,accuracy,precision,recall,f1,auc
AXISBANK,target,lightgbm,0.714503288269043,0.7865168539325843,0.8852459016393442,0.8181818181818182,0.8503937007874016,0.8267457180500659
AXISBANK,target,xgboost,0.2670001983642578,0.8089887640449438,0.8888888888888888,0.8484848484848485,0.8682170542635659,0.8017127799736496
AXISBANK,target,catboost,5.939619064331055,0.7752808988764045,0.8833333333333333,0.803030303030303,0.8412698412698413,0.8241106719367589
AXISBANK,exit_signal,lightgbm,0.25299835205078125,0.3595505617977528,0.5757575757575758,0.3064516129032258,0.4,0.3975507765830346
AXISBANK,exit_signal,xgboost,0.1490001678466797,0.2247191011235955,0.3333333333333333,0.11290322580645161,0.1686746987951807,0.24133811230585425
AXISBANK,exit_signal,catboost,1.8358824253082275,0.38202247191011235,0.6206896551724138,0.2903225806451613,0.3956043956043956,0.4193548387096774
BHARTIARTL,target,lightgbm,0.4255037307739258,0.55,0.5853658536585366,0.5581395348837209,0.5714285714285714,0.600879949717159
BHARTIARTL,target,xgboost,0.20000028610229492,0.55,0.5777777777777777,0.6046511627906976,0.5909090909090909,0.5795097423004401
BHARTIARTL,target,catboost,3.432708978652954,0.6125,0.6363636363636364,0.6511627906976745,0.6436781609195402,0.6304211187932118
BHARTIARTL,exit_signal,lightgbm,0.261502742767334,0.6875,0.4857142857142857,0.7083333333333334,0.576271186440678,0.6785714285714287
BHARTIARTL,exit_signal,xgboost,0.2089998722076416,0.7375,0.5789473684210527,0.4583333333333333,0.5116279069767442,0.6205357142857143
BHARTIARTL,exit_signal,catboost,1.979893445968628,0.65,0.4375,0.5833333333333334,0.5,0.7131696428571429
HDFCBANK,target,lightgbm,0.2649979591369629,0.8446601941747572,1.0,0.8446601941747572,0.9157894736842105,
HDFCBANK,target,xgboost,0.16499924659729004,0.8932038834951457,1.0,0.8932038834951457,0.9435897435897436,
HDFCBANK,target,catboost,1.9497506618499756,0.9223300970873787,1.0,0.9223300970873787,0.9595959595959596,
HDFCBANK,exit_signal,lightgbm,0.26450300216674805,0.5631067961165048,1.0,0.5631067961165048,0.7204968944099379,
HDFCBANK,exit_signal,xgboost,0.15600013732910156,0.04854368932038835,1.0,0.04854368932038835,0.09259259259259259,
HDFCBANK,exit_signal,catboost,1.9407575130462646,0.07766990291262135,1.0,0.07766990291262135,0.14414414414414414,
ICICIBANK,target,lightgbm,0.25999975204467773,0.84375,1.0,0.8295454545454546,0.906832298136646,0.9957386363636364
ICICIBANK,target,xgboost,0.40270090103149414,0.8854166666666666,1.0,0.875,0.9333333333333333,0.9971590909090909
ICICIBANK,target,catboost,4.731766223907471,0.8020833333333334,1.0,0.7840909090909091,0.8789808917197452,0.9971590909090909
ICICIBANK,exit_signal,lightgbm,0.4785733222961426,0.1875,1.0,0.13333333333333333,0.23529411764705882,0.38055555555555554
ICICIBANK,exit_signal,xgboost,0.17939281463623047,0.10416666666666667,1.0,0.044444444444444446,0.0851063829787234,0.2685185185185185
ICICIBANK,exit_signal,catboost,3.9232914447784424,0.08333333333333333,1.0,0.022222222222222223,0.043478260869565216,0.837962962962963
ITC,target,lightgbm,0.34198570251464844,0.7623762376237624,1.0,0.7623762376237624,0.8651685393258427,
ITC,target,xgboost,0.17171883583068848,0.8712871287128713,1.0,0.8712871287128713,0.9312169312169312,
ITC,target,catboost,2.488687753677368,0.8514851485148515,1.0,0.8514851485148515,0.9197860962566845,
ITC,exit_signal,lightgbm,0.2700021266937256,0.48514851485148514,1.0,0.48514851485148514,0.6533333333333333,
ITC,exit_signal,xgboost,0.17499828338623047,0.04950495049504951,1.0,0.04950495049504951,0.09433962264150944,
ITC,exit_signal,catboost,1.9618799686431885,0.09900990099009901,1.0,0.09900990099009901,0.18018018018018017,
RELIANCE,target,lightgbm,0.24699854850769043,0.6086956521739131,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.4895833333333333
RELIANCE,target,xgboost,0.3169999122619629,0.6413043478260869,0.7464788732394366,0.7794117647058824,0.762589928057554,0.6893382352941176
RELIANCE,target,catboost,8.930123329162598,0.6739130434782609,0.75,0.8382352941176471,0.7916666666666666,0.6948529411764707
RELIANCE,exit_signal,lightgbm,0.3121328353881836,0.2717391304347826,0.9166666666666666,0.14285714285714285,0.24719101123595505,0.6445887445887446
RELIANCE,exit_signal,xgboost,0.1435074806213379,0.17391304347826086,0.5454545454545454,0.07792207792207792,0.13636363636363635,0.19913419913419914
RELIANCE,exit_signal,catboost,1.7376959323883057,0.43478260869565216,1.0,0.3246753246753247,0.49019607843137253,0.7437229437229438
SBIN,target,lightgbm,0.31361913681030273,0.7222222222222222,0.7945205479452054,0.8529411764705882,0.8226950354609929,0.7336229946524064
SBIN,target,xgboost,0.1979999542236328,0.7444444444444445,0.7922077922077922,0.8970588235294118,0.8413793103448276,0.8268716577540107
SBIN,target,catboost,1.8976972103118896,0.6777777777777778,0.9333333333333333,0.6176470588235294,0.7433628318584071,0.8479278074866311
SBIN,exit_signal,lightgbm,0.2579996585845947,0.4666666666666667,1.0,0.23809523809523808,0.38461538461538464,0.850676072898295
SBIN,exit_signal,xgboost,0.14700007438659668,0.3,0.0,0.0,0.0,0.3292181069958848
SBIN,exit_signal,catboost,2.32503080368042,0.3111111111111111,1.0,0.015873015873015872,0.03125,0.6346266901822457
SUNPHARMA,target,lightgbm,0.30750274658203125,0.611764705882353,0.8709677419354839,0.48214285714285715,0.6206896551724138,0.770628078817734
SUNPHARMA,target,xgboost,0.24200081825256348,0.6470588235294118,0.8095238095238095,0.6071428571428571,0.6938775510204082,0.7629310344827586
SUNPHARMA,target,catboost,5.054009675979614,0.611764705882353,0.8484848484848485,0.5,0.6292134831460674,0.7653940886699506
SUNPHARMA,exit_signal,lightgbm,0.25812315940856934,0.5058823529411764,0.41025641025641024,0.45714285714285713,0.43243243243243246,0.4957142857142858
SUNPHARMA,exit_signal,xgboost,0.14814043045043945,0.5529411764705883,0.0,0.0,0.0,0.19514285714285715
SUNPHARMA,exit_signal,catboost,2.0047414302825928,0.6352941176470588,1.0,0.11428571428571428,0.20512820512820512,0.4702857142857143
TATAMOTORS,target,lightgbm,0.31301283836364746,0.35802469135802467,0.2916666666666667,0.9545454545454546,0.44680851063829785,0.6263482280431434
TATAMOTORS,target,xgboost,0.3409998416900635,0.43209876543209874,0.3181818181818182,0.9545454545454546,0.4772727272727273,0.6009244992295839
TATAMOTORS,target,catboost,2.284787654876709,0.345679012345679,0.29333333333333333,1.0,0.4536082474226804,0.7507704160246533
TATAMOTORS,exit_signal,lightgbm,0.5095231533050537,0.5679012345679012,0.8888888888888888,0.19047619047619047,0.3137254901960784,0.7271062271062271
TATAMOTORS,exit_signal,xgboost,0.178999662399292,0.5061728395061729,1.0,0.047619047619047616,0.09090909090909091,0.5158730158730158
TATAMOTORS,exit_signal,catboost,2.2439255714416504,0.5185185185185185,1.0,0.07142857142857142,0.13333333333333333,0.6260683760683761
TITAN,target,lightgbm,0.32799839973449707,0.5180722891566265,0.7222222222222222,0.2708333333333333,0.3939393939393939,0.6651785714285715
TITAN,target,xgboost,0.17137527465820312,0.5783132530120482,0.7096774193548387,0.4583333333333333,0.5569620253164557,0.606547619047619
TITAN,target,catboost,2.237484931945801,0.5783132530120482,0.7241379310344828,0.4375,0.5454545454545454,0.6321428571428571
TITAN,exit_signal,lightgbm,0.26351046562194824,0.27710843373493976,0.2727272727272727,0.3,0.2857142857142857,0.3148255813953488
TITAN,exit_signal,xgboost,0.16100096702575684,0.25301204819277107,0.25,0.275,0.2619047619047619,0.2494186046511628
TITAN,exit_signal,catboost,1.8495090007781982,0.3493975903614458,0.3541666666666667,0.425,0.38636363636363635,0.2947674418604651
ULTRACEMCO,target,lightgbm,0.47899842262268066,0.8152173913043478,0.9827586206896551,0.7808219178082192,0.8702290076335878,0.8644556596971881
ULTRACEMCO,target,xgboost,0.15900039672851562,0.8260869565217391,0.9830508474576272,0.7945205479452054,0.8787878787878788,0.8824801730353281
ULTRACEMCO,target,catboost,6.867761611938477,0.8043478260869565,0.9230769230769231,0.821917808219178,0.8695652173913043,0.8723864455659698
ULTRACEMCO,exit_signal,lightgbm,0.2689998149871826,0.2826086956521739,0.6470588235294118,0.2894736842105263,0.4,0.1924342105263158
ULTRACEMCO,exit_signal,xgboost,0.17000102996826172,0.15217391304347827,0.4375,0.09210526315789473,0.15217391304347827,0.1800986842105263
ULTRACEMCO,exit_signal,catboost,1.8449344635009766,0.2826086956521739,0.65625,0.27631578947368424,0.3888888888888889,0.24095394736842107
