feature,importance
trix,262.19437885284424
return_180,210.37074947357178
return_55,203.99381136894226
di_minus_change,158.35065984725952
return_365,155.43961083889008
di_minus_14,145.6362897157669
cci_20,102.55763983726501
return_ratio_90_365,84.15235018730164
return_90,63.30362033843994
sma_200,54.98406004905701
macd_histogram,53.9610800743103
natr_trend,53.81090974807739
return_ratio_90_180,34.997958958148956
natr,23.25457000732422
sma_return_ratio,20.58619976043701
return_90_risk_adj,16.846760392189026
trix_direction,12.96969985961914
macd_hist_direction,0.3653680086135864
return_90_direction,0.0
trend_strength,0.0
