feature,importance
sma_return_ratio,16.784334390671816
return_ratio_90_365,16.729619803806287
trix,12.156047191409085
return_90_risk_adj,10.17186601189392
return_365,9.35572511794056
di_minus_14,8.920917355147392
return_180,8.015778150860156
natr_trend,6.8010221203219166
sma_200,2.3744481031828526
cci_20,2.1666023992293177
macd_histogram,1.9036934118117903
return_ratio_90_180,1.79026446504117
return_90,1.1652920270935552
return_55,1.0221749793740205
natr,0.6422144722161582
trix_direction,0.0
return_90_direction,0.0
macd_hist_direction,0.0
trend_strength,0.0
di_minus_change,0.0
