feature,importance
sma_200,383.32085847854614
natr_trend,261.240429520607
natr,182.16682016849518
return_ratio_90_180,166.44632983207703
trix,132.38815999031067
cci_20,126.09195971488953
return_365,121.33755946159363
return_90_risk_adj,108.27438962459564
di_minus_change,106.50500327348709
macd_histogram,94.06562972068787
return_55,86.15061902999878
di_minus_14,85.54497909545898
return_180,84.80565905570984
return_ratio_90_365,84.28900980949402
sma_return_ratio,79.60513055324554
return_90,67.56180024147034
trix_direction,1.6957000494003296
return_90_direction,0.0
macd_hist_direction,0.0
trend_strength,0.0
