date,trading_symbol,actual,predicted_proba,trend_confirmations,model_name,signal
2024-10-09,ULTRACEMCO,0.0,0.2843756257373904,3.0,catboost,SELL
2024-10-09,WIPRO,0.0,0.3362139383773328,3.0,catboost,HOLD
2024-10-10,ASIANPAINT,0.0,0.11295314967487112,2.0,catboost,SELL
2024-10-10,AXISBANK,0.0,0.7078399123510029,3.0,lightgbm,BUY
2024-10-10,BAJFINANCE,0.0,0.4734376423297017,2.0,catboost,HOLD
2024-10-10,BHARTIARTL,1.0,0.6466097004979952,3.0,catboost,BUY
2024-10-10,ICICIBANK,0.0,0.16831499338150024,3.0,xgboost,SELL
2024-10-10,INFY,1.0,0.3780036029219539,3.0,catboost,HOLD
2024-10-10,MARUTI,0.0,0.3822055389028547,3.0,lightgbm,HOLD
2024-10-10,RELIANCE,0.0,0.9625599119557727,1.0,catboost,HOLD
2024-10-10,SBIN,1.0,0.8241828383944957,1.0,catboost,HOLD
2024-10-10,SUNPHARMA,0.0,0.5710424715908334,3.0,lightgbm,HOLD
2024-10-10,TATAMOTORS,0.0,0.5144020999763083,2.0,catboost,HOLD
2024-10-10,TITAN,0.0,0.5155311822891235,2.0,xgboost,HOLD
2024-10-10,ULTRACEMCO,0.0,0.3136585508853999,3.0,catboost,HOLD
2024-10-10,WIPRO,0.0,0.4618740522747665,3.0,catboost,HOLD
2024-10-11,ASIANPAINT,0.0,0.2773649392357219,2.0,catboost,SELL
2024-10-11,AXISBANK,1.0,0.7138984381803378,2.0,lightgbm,BUY
2024-10-11,BAJFINANCE,0.0,0.42407749958434904,2.0,catboost,HOLD
2024-10-11,BHARTIARTL,1.0,0.7294750810252665,3.0,catboost,BUY
2024-10-11,ICICIBANK,1.0,0.5068775415420532,3.0,xgboost,HOLD
2024-10-11,INFY,0.0,0.3777515142610131,3.0,catboost,HOLD
2024-10-11,MARUTI,0.0,0.3610983976984745,3.0,lightgbm,HOLD
2024-10-11,RELIANCE,0.0,0.9156486693970575,1.0,catboost,HOLD
2024-10-11,SBIN,1.0,0.7451516457674361,1.0,catboost,HOLD
2024-10-11,SUNPHARMA,0.0,0.2636559446126004,3.0,lightgbm,SELL
2024-10-11,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-11,TITAN,0.0,0.5567687153816223,2.0,xgboost,HOLD
2024-10-11,ULTRACEMCO,0.0,0.7692691162281973,3.0,catboost,BUY
2024-10-11,WIPRO,1.0,0.4618740522747665,3.0,catboost,HOLD
2024-10-14,ASIANPAINT,0.0,0.28923122741602164,2.0,catboost,SELL
2024-10-14,AXISBANK,1.0,0.5715927424927919,3.0,lightgbm,HOLD
2024-10-14,BAJFINANCE,0.0,0.42407749958434904,2.0,catboost,HOLD
2024-10-14,BHARTIARTL,0.0,0.48262690837472577,3.0,catboost,HOLD
2024-10-14,ICICIBANK,1.0,0.3803955018520355,3.0,xgboost,HOLD
2024-10-14,INFY,0.0,0.38230412306785283,3.0,catboost,HOLD
2024-10-14,MARUTI,0.0,0.31314747324876013,3.0,lightgbm,HOLD
2024-10-14,RELIANCE,0.0,0.9384002562300352,1.0,catboost,HOLD
2024-10-14,SBIN,1.0,0.49685547930946977,2.0,catboost,HOLD
2024-10-14,SUNPHARMA,0.0,0.23160987426884308,3.0,lightgbm,SELL
2024-10-14,TATAMOTORS,0.0,0.5144020999763083,2.0,catboost,HOLD
2024-10-14,TITAN,0.0,0.5401499271392822,2.0,xgboost,HOLD
2024-10-14,ULTRACEMCO,0.0,0.606892056440444,3.0,catboost,BUY
2024-10-14,WIPRO,0.0,0.3554337561629164,3.0,catboost,HOLD
2024-10-15,ASIANPAINT,0.0,0.37541509731237477,2.0,catboost,HOLD
2024-10-15,AXISBANK,1.0,0.7380681036553952,2.0,lightgbm,BUY
2024-10-15,BAJFINANCE,0.0,0.42407749958434904,2.0,catboost,HOLD
2024-10-15,BHARTIARTL,0.0,0.5134059293826737,3.0,catboost,HOLD
2024-10-15,ICICIBANK,0.0,0.5887606143951416,3.0,xgboost,HOLD
2024-10-15,INFY,0.0,0.3895988283644973,3.0,catboost,HOLD
2024-10-15,MARUTI,0.0,0.266360188423492,2.0,lightgbm,SELL
2024-10-15,RELIANCE,0.0,0.9248926275650629,1.0,catboost,HOLD
2024-10-15,SBIN,0.0,0.456113241445159,2.0,catboost,HOLD
2024-10-15,SUNPHARMA,0.0,0.2714748634252682,3.0,lightgbm,SELL
2024-10-15,TATAMOTORS,0.0,0.5144020999763083,1.0,catboost,HOLD
2024-10-15,TITAN,0.0,0.4110429883003235,2.0,xgboost,HOLD
2024-10-15,ULTRACEMCO,0.0,0.4650468251944427,3.0,catboost,HOLD
2024-10-15,WIPRO,1.0,0.4049308818282262,3.0,catboost,HOLD
2024-10-16,ASIANPAINT,0.0,0.6271504578958946,2.0,catboost,BUY
2024-10-16,AXISBANK,0.0,0.7138984381803378,2.0,lightgbm,BUY
