feature,correlation
parkinson_vol_10d,0.15348594735938478
parkinson_vol_20d,0.1493922869289288
gk_vol_10d,0.14913661218131796
parkinson_vol_5d,0.14718607837373002
gk_vol_20d,0.14615421971137885
volatility_30d,0.14283309575390712
gk_vol_5d,0.14255058080131539
volatility_15d,0.14165417655144275
volatility_20d,0.14122196467396797
volatility_10d,0.13954122225454987
price_range_pct,0.13239913561001102
volatility_5d,0.11878757594724944
volatility_3d,0.10612303009833864
body_size_pct,0.10368056793051084
vol_regime_10d,0.09193707950329394
adx,0.06957343458774842
rel_return_30d,0.06514300597760611
rel_return_20d,0.06031257792183384
volume_ratio_20d,0.06006843080629469
rel_volume,0.059483030970395936
close_position,0.05814831721298895
rel_strength_20d,0.05746403693049778
rel_return_1d,0.05527625787484309
return_1d,0.05497028390652455
rel_return_15d,0.054879224024254
rel_return_10d,0.05453833155989943
volume_ratio_10d,0.053751450613270545
price_position_3d,0.05260646053301802
rel_strength_10d,0.052409320076692516
log_return_1d,0.05018470364751574
volume_ratio_5d,0.05010599895521658
rel_return_5d,0.04760621026018613
rel_return_3d,0.047543225745926024
rel_strength_5d,0.04659129426235167
dist_from_sma_3d,0.04635939024941309
price_position_5d,0.04279581941072719
dist_from_sma_5d,0.04196225887344917
return_30d,0.04159177997540913
volume_ratio_3d,0.04139070431466205
return_3d,0.04113597129455009
return_5d,0.04067238256488861
return_10d,0.04006865112851027
vol_ratio_park_gk_10d,0.03969124975810482
return_20d,0.03922614950259707
dist_from_ema_5d,0.03867268956869621
bullish_candle,0.037464869655927095
dist_from_sma_10d,0.03677993142754872
return_15d,0.03643581769673558
dist_from_sma_15d,0.034527145112478515
dist_from_sma_20d,0.03358495612329018
dist_from_ema_10d,0.03337741456125602
earnings_q2,0.03140974586586944
vol_ratio_std_park_10d,0.03126920331861992
volume,0.030771389675459622
dist_from_ema_20d,0.028908588310713055
price_position_10d,0.028104070943450177
volume_sma_3d,0.025462224837949035
volume_sma_5d,0.02311779147780029
consecutive_bullish,0.02243673438956502
price_position_15d,0.021362910134875287
volume_sma_10d,0.019920257341420566
body_ratio,0.01896587354570176
volume_sma_20d,0.018554105388944402
rsi_14,0.01553285338694154
volume_pct_change,0.015134436868559994
weekday_1,0.011242705164071942
lower_shadow_ratio,0.009063233411325389
index_return_1d,0.007744641076120475
stoch_k,0.005981928867388042
weekday_2,0.002915710672284692
bullish_engulfing,0.002125605848335897
earnings_q1,0.0015720289876235368
weekday_0,0.0007487703859908985
vwap_resistance_3,-0.00032708362524392357
stoch_d,-0.0009551089392135705
weekday_4,-0.0010700368763776591
index_return_5d,-0.0025654354774171323
dist_from_vwap_support_3,-0.0029917846629204502
vwap_resistance_2,-0.003181073951689682
index_return_3d,-0.004492322986627023
vwap_resistance_1,-0.005472397352979811
dist_from_vwap_support_2,-0.007368793018041653
dist_from_vwap_support_1,-0.008515262525600744
dist_from_vwap_resistance_3,-0.008853685642199932
doji_candle,-0.009128630694325535
vwap_support_2,-0.00924108956597638
body_size,-0.010213116811340194
dist_from_vwap_resistance_1,-0.010331723584953168
vwap_support_3,-0.010803805385223226
weekday_3,-0.012081205417311194
vwap_support_1,-0.01287854296661926
earnings_q4,-0.013701770697585772
lower_shadow,-0.0157890435224463
consecutive_bearish,-0.017278263257605855
macd,-0.017828974341901106
dist_from_vwap_resistance_2,-0.017834765784059854
candle_range,-0.018311949787580762
price_range,-0.018311949787580762
bearish_engulfing,-0.018550522035607513
earnings_q3,-0.018821027074615998
upper_shadow,-0.022333591525400088
index_return_10d,-0.023001259133209495
index_return_15d,-0.029936582970444377
upper_shadow_ratio,-0.030334688056507766
index_return_20d,-0.03696929807889205
atr,-0.03771051834802306
index_return_30d,-0.04235755617783606
bearish_candle,-0.048099602383640465
max_high_30d,-0.06685493698042226
max_high_15d,-0.06731450579647855
bb_upper,-0.06731579912727487
max_high_20d,-0.06739967693850539
max_high_10d,-0.06781209769239051
max_high_5d,-0.06871446670618439
max_high_3d,-0.06916742203796411
sma_15d,-0.06948923152309258
sma_10d,-0.06964036197532868
sma_20d,-0.06982473281928481
high,-0.06999067755393229
ema_20d,-0.07013606030868375
sma_5d,-0.07018379956085438
ema_10d,-0.07027348548744072
sma_3d,-0.0703400262380081
ema_5d,-0.07043870732910386
close,-0.07056869062546824
open,-0.07059134342340742
low,-0.07128107415684923
min_low_3d,-0.07158706283288745
min_low_5d,-0.0717118741270192
min_low_10d,-0.07176641490012985
min_low_15d,-0.07196543783531083
