feature,correlation
earnings_q1,0.11568545059061086
volatility_30d,0.09045453285037994
parkinson_vol_20d,0.08914690022219779
gk_vol_20d,0.08761399645891865
volatility_20d,0.08200309932362101
gk_vol_10d,0.08142000045962128
parkinson_vol_10d,0.0812818442002807
gk_vol_5d,0.07835890593484117
parkinson_vol_5d,0.07833082848240057
volatility_15d,0.07399262308861289
volatility_10d,0.07146823633961631
price_range_pct,0.06694519744676296
volatility_5d,0.06674889436591717
volatility_3d,0.05698872157112307
body_size_pct,0.04545541338450631
vol_regime_10d,0.04106695234536628
rel_return_30d,0.038830061540465574
rel_return_20d,0.037115745656190254
rel_return_15d,0.03677097687434848
rel_strength_20d,0.03550420455013173
rel_return_3d,0.03524748808750397
rel_return_5d,0.034666678311447756
rel_strength_5d,0.03401118331229034
rel_return_10d,0.033817435078582744
rel_strength_10d,0.03259398761699242
return_5d,0.023186048824859102
volume_ratio_20d,0.0223751914268583
return_3d,0.02229583884541007
rel_volume,0.022173468261326025
vwap_support_1,0.021842816813199478
volume_ratio_10d,0.021407252214720982
return_30d,0.020742537185163307
dist_from_sma_10d,0.02034890149066163
vwap_resistance_1,0.018342805114876883
volume_sma_5d,0.017787330257933606
dist_from_sma_15d,0.017703752221675743
return_10d,0.017302120475295796
dist_from_sma_5d,0.017077152785484332
dist_from_ema_10d,0.016708747712032703
volume_sma_3d,0.016668401972916764
return_20d,0.016636058397075697
volume_sma_10d,0.01659689433489065
return_15d,0.016257493396225155
volume,0.01607589028186282
dist_from_sma_20d,0.015932032991252426
dist_from_ema_20d,0.015438775216517478
volume_ratio_5d,0.015306053391569633
dist_from_ema_5d,0.015184771598873584
volume_sma_20d,0.014611964324037555
vwap_support_2,0.01406093256142596
rel_return_1d,0.013756228314761575
weekday_3,0.013679807477514723
vol_ratio_std_park_10d,0.01178486752218395
volume_pct_change,0.009517208072817218
body_ratio,0.00880495617248269
dist_from_sma_3d,0.008574926354916518
price_position_10d,0.007634076692389447
volume_ratio_3d,0.006657693216894192
dist_from_vwap_resistance_2,0.006016516611127266
bearish_candle,0.00525099481863638
stoch_k,0.005214677166846235
vwap_resistance_2,0.005136648791191089
price_position_5d,0.004813890407916152
price_position_15d,0.004555330060769586
consecutive_bullish,0.004231065426850844
dist_from_vwap_resistance_3,0.004150028233219724
vwap_support_3,0.004142830245438722
weekday_4,0.003922887615036503
vol_ratio_park_gk_10d,0.003832655444214306
return_1d,0.002788833197346265
dist_from_vwap_resistance_1,0.0025777643224055564
bearish_engulfing,0.002252905433362846
weekday_2,0.0019824050636131126
log_return_1d,0.0013168420443157398
adx,0.0005299754491352883
stoch_d,2.0795591147725748e-05
rsi_14,-0.0001863340802958948
body_size,-0.00042685880232188407
vwap_resistance_3,-0.0008435035199533341
upper_shadow_ratio,-0.001310726283842427
price_position_3d,-0.0015055305822481836
bullish_engulfing,-0.001604783343628737
consecutive_bearish,-0.0035493611858868103
bullish_candle,-0.0038166759840445115
dist_from_vwap_support_3,-0.004197735590899945
close_position,-0.005679613927935826
doji_candle,-0.006038659172011365
candle_range,-0.006761882179639149
price_range,-0.006761882179639149
upper_shadow,-0.0076967033923905125
weekday_0,-0.008168136505652051
lower_shadow_ratio,-0.010366044546881463
dist_from_vwap_support_2,-0.012668595919052129
macd,-0.012678704890509032
lower_shadow,-0.012692676935257635
weekday_1,-0.014852323009685793
atr,-0.01569131262032893
dist_from_vwap_support_1,-0.020470432722259742
index_return_1d,-0.022425562545899815
index_return_5d,-0.02575591479116465
index_return_3d,-0.025968450312401452
earnings_q4,-0.030333353806234278
max_high_30d,-0.03159744377809242
max_high_20d,-0.03282243968541447
bb_upper,-0.03291128528606292
max_high_15d,-0.033738160582540894
max_high_3d,-0.03433292082154445
max_high_10d,-0.03435049346188992
sma_20d,-0.03443616441267998
max_high_5d,-0.03443942484665918
high,-0.034469011029161487
close,-0.0348114852545228
ema_20d,-0.034836149631104006
open,-0.03487449285332869
ema_5d,-0.03494681949069691
sma_3d,-0.03495369951837113
ema_10d,-0.03496416650745135
low,-0.0351831247609161
sma_5d,-0.03523824799786023
sma_15d,-0.03534635682961825
min_low_3d,-0.03561919111046966
sma_10d,-0.03567290776457766
min_low_5d,-0.03602680515142788
min_low_15d,-0.03669737217510943
min_low_10d,-0.03687589161151646
index_return_10d,-0.04027170196437853
earnings_q2,-0.04485313665488134
earnings_q3,-0.04569719205531405
index_return_30d,-0.05032459569068058
index_return_15d,-0.05393390002365894
index_return_20d,-0.05660990417571151
