feature,correlation
parkinson_vol_5d,0.17488038459272065
parkinson_vol_10d,0.16827970070531292
gk_vol_5d,0.16768043837339308
parkinson_vol_20d,0.16364940050002882
gk_vol_10d,0.1623582708847747
volatility_30d,0.16166188380874436
gk_vol_20d,0.1585246885252106
price_range_pct,0.15707891573423036
volatility_20d,0.15680862617086005
volatility_10d,0.15372877037936022
volatility_15d,0.15253497078453795
volatility_5d,0.1455439454949055
body_size_pct,0.1207973137153259
volatility_3d,0.12020865340721103
vol_regime_10d,0.0983483671538958
earnings_q1,0.07528195478692296
adx,0.06493635899388149
weekday_4,0.06254606127264019
rel_return_30d,0.05855262338371442
volume_ratio_20d,0.05792962588497512
rel_volume,0.05742953068704755
rel_return_20d,0.05216104292326403
vol_ratio_park_gk_10d,0.04975177793830253
volume_ratio_10d,0.04796229453236774
rel_strength_20d,0.047766858717970366
rel_return_15d,0.047152922265761725
rel_return_10d,0.04237041043804386
rel_strength_10d,0.03953089041276329
vol_ratio_std_park_10d,0.03626697183759037
rel_return_5d,0.03203958780820898
rel_strength_5d,0.030890025947951958
body_ratio,0.03006605879935647
volume_ratio_5d,0.029317465343974024
volume,0.027821469945814234
volume_sma_3d,0.025168412423411002
return_30d,0.02502065593387917
volume_sma_5d,0.024458663052275592
rel_return_3d,0.021622570591883467
bearish_candle,0.021077957705941702
volume_sma_10d,0.02006314344663159
volume_ratio_3d,0.017683873999826787
return_20d,0.017253988626387353
volume_sma_20d,0.016185808170544266
return_15d,0.012645723593678581
vwap_resistance_1,0.01043585354617202
vwap_support_2,0.009767894479773371
volume_pct_change,0.009613298642827334
vwap_support_1,0.00958336460270217
vwap_resistance_2,0.008802880837593728
return_10d,0.007803366076782514
vwap_support_3,0.005534982877284527
weekday_3,0.005414295484650748
consecutive_bearish,0.004851217851905648
vwap_resistance_3,0.0035360771805632786
body_size,0.002787838514922044
bearish_engulfing,0.0024325114425500947
bullish_engulfing,-0.002172143109948711
dist_from_sma_20d,-0.0027282062766685153
dist_from_vwap_resistance_3,-0.0036051591342504386
rel_return_1d,-0.003943902378396616
doji_candle,-0.00546398756803573
dist_from_sma_15d,-0.0058120671678690075
consecutive_bullish,-0.0062731077096786
return_3d,-0.006329264322626904
return_5d,-0.0068630539690419864
dist_from_ema_20d,-0.007884873783766125
candle_range,-0.009013593317318304
price_range,-0.009013593317318304
dist_from_sma_10d,-0.009342800723255919
weekday_0,-0.010501927358961648
upper_shadow_ratio,-0.011803499409915904
dist_from_vwap_resistance_2,-0.012799609966492985
earnings_q2,-0.013013601642181084
upper_shadow,-0.013848613226672326
stoch_d,-0.013996743167827352
dist_from_ema_10d,-0.015960657746951403
dist_from_vwap_resistance_1,-0.01662092747869965
rsi_14,-0.018109453490041935
dist_from_sma_5d,-0.0181263169259692
stoch_k,-0.01884231145698394
lower_shadow,-0.01979239823249646
dist_from_vwap_support_3,-0.020513250607681426
macd,-0.02060123348342042
dist_from_ema_5d,-0.022337778963434852
dist_from_sma_3d,-0.02412641948347807
bullish_candle,-0.025165557850667722
return_1d,-0.026229507350579644
lower_shadow_ratio,-0.027035332161738895
atr,-0.027685874895635072
dist_from_vwap_support_2,-0.028478422994438254
price_position_15d,-0.029177639367206753
log_return_1d,-0.030164332166161285
weekday_1,-0.0305605170706052
earnings_q4,-0.03120410542505731
weekday_2,-0.032301250183435236
price_position_10d,-0.032335848730178786
close_position,-0.033275540972782666
earnings_q3,-0.03418408703199318
price_position_3d,-0.03474326374528887
dist_from_vwap_support_1,-0.03486380660598666
price_position_5d,-0.035488534928764325
max_high_30d,-0.054734812107925364
index_return_1d,-0.054894253684767365
max_high_20d,-0.05579963172801288
bb_upper,-0.055910822563201394
max_high_15d,-0.05652941325574689
max_high_10d,-0.05709852998859614
max_high_5d,-0.05763263985292417
max_high_3d,-0.05824451492607446
sma_20d,-0.05866745267905336
high,-0.058962176707917216
ema_20d,-0.058998465054949205
sma_15d,-0.05906602089783182
ema_10d,-0.05922604918421818
sma_10d,-0.05926614657539567
sma_5d,-0.059331701670345745
ema_5d,-0.05942581456344433
open,-0.05954122804921705
sma_3d,-0.05955360915777045
close,-0.05972191356414793
low,-0.06027268937297021
min_low_3d,-0.060759240635106945
min_low_5d,-0.06091351469588352
min_low_10d,-0.061284355180955485
min_low_15d,-0.0614467701210199
index_return_3d,-0.07061427284528314
index_return_10d,-0.08640934637069554
index_return_30d,-0.08738848307487956
index_return_15d,-0.0891173767501392
index_return_20d,-0.09128928882427509
index_return_5d,-0.1019203786745678
