feature,correlation
parkinson_vol_20d,0.10713258042164353
earnings_q1,0.10595992595004647
volatility_30d,0.10587973866758968
gk_vol_20d,0.1050149863557464
parkinson_vol_10d,0.10266177700736406
gk_vol_10d,0.10174546814486185
parkinson_vol_5d,0.10012589473875343
gk_vol_5d,0.0991470286516953
volatility_20d,0.09899727938454994
volatility_15d,0.09137670766457867
price_range_pct,0.09035092999876825
volatility_10d,0.0903233296010109
volatility_5d,0.08747421322425777
volatility_3d,0.07667421575567943
body_size_pct,0.06255687494236191
vol_regime_10d,0.05331447686846564
rel_return_20d,0.04445655522511561
rel_return_30d,0.04334344373373006
rel_strength_20d,0.04245785547677475
rel_return_15d,0.04080947293595379
rel_return_5d,0.03874078871648532
rel_strength_5d,0.038200065574607825
rel_return_3d,0.03707624543165285
rel_return_10d,0.03583187706751645
rel_strength_10d,0.034455006446371415
volume_ratio_20d,0.03219789268208318
rel_volume,0.031950533853681955
volume_ratio_10d,0.030673922787168757
return_30d,0.023991042928853696
volume_ratio_5d,0.021649052325535444
return_20d,0.021444458756436212
vwap_support_1,0.021374240720649848
return_5d,0.02128711364239378
vwap_resistance_1,0.018634899058439087
return_15d,0.018388326925554564
vwap_support_2,0.01752158906006976
dist_from_sma_10d,0.016896176396832222
return_10d,0.016793845442084458
vol_ratio_std_park_10d,0.01639208744908127
return_3d,0.016279627826956036
dist_from_sma_15d,0.015790767410013416
dist_from_sma_20d,0.015484195545744756
adx,0.015420869026193064
volume,0.015022087811846397
volume_sma_5d,0.014756456079288221
volume_sma_3d,0.01413810125259553
rel_return_1d,0.014032678380279164
dist_from_ema_20d,0.01394133637447405
volume_sma_10d,0.01391756837237489
bearish_candle,0.013361707210644355
dist_from_ema_10d,0.012874354483961525
vol_ratio_park_gk_10d,0.012848188212647065
body_ratio,0.011826181081766368
volume_sma_20d,0.010786720922291528
volume_ratio_3d,0.01027791707635855
dist_from_sma_5d,0.010160464233407605
vwap_resistance_2,0.009571114849862802
volume_pct_change,0.009419010959752729
dist_from_ema_5d,0.009016898040508268
vwap_support_3,0.007426502787120611
stoch_k,0.007130241872286412
weekday_3,0.006918202979832945
dist_from_vwap_resistance_2,0.006320091824312578
bearish_engulfing,0.006303372128914406
stoch_d,0.005542345805244646
weekday_0,0.0046689080795467115
dist_from_vwap_resistance_3,0.0038293632935304505
vwap_resistance_3,0.0034065194636413412
body_size,0.002088392876584997
dist_from_vwap_resistance_1,0.0020283455830478387
price_position_15d,0.0016054344257402744
price_position_10d,0.0013217741323296938
dist_from_sma_3d,0.001174371116666599
consecutive_bearish,0.0008470810992574906
rsi_14,0.0002856756418253095
bullish_engulfing,-0.0009570942913095597
weekday_4,-0.001149781819037667
consecutive_bullish,-0.001316612602137084
weekday_2,-0.0024204598578358304
upper_shadow_ratio,-0.0024891623413213415
dist_from_vwap_support_3,-0.004059181690408984
price_range,-0.004350066047798758
candle_range,-0.004350066047798758
return_1d,-0.004376789684405287
log_return_1d,-0.006367311050434448
upper_shadow,-0.0064800569985810465
weekday_1,-0.00782968496434011
price_position_5d,-0.00806231084953588
doji_candle,-0.008912865339831258
lower_shadow,-0.011155230065501443
bullish_candle,-0.011214638099477982
macd,-0.012639689276581025
lower_shadow_ratio,-0.013091455685844407
dist_from_vwap_support_2,-0.013960060510892264
price_position_3d,-0.014820308971244837
close_position,-0.0150077260699502
atr,-0.017312675987107496
dist_from_vwap_support_1,-0.018552820181425542
earnings_q2,-0.03247445045132817
earnings_q4,-0.03427669879832738
max_high_30d,-0.036799999555554706
max_high_20d,-0.038159867595163384
bb_upper,-0.0381842617179404
max_high_15d,-0.03890378300539023
max_high_3d,-0.03949362576320017
max_high_5d,-0.03958743186413631
max_high_10d,-0.039609184666856735
sma_20d,-0.040038427643158216
high,-0.040056944997954445
sma_3d,-0.04034806100388886
ema_20d,-0.04047866673809909
open,-0.04053555945548387
close,-0.04055479050040261
ema_5d,-0.04058059145207105
ema_10d,-0.040582821200365375
sma_5d,-0.04059107548993985
sma_15d,-0.04070706850182719
low,-0.0410090566952552
sma_10d,-0.04106635433716915
min_low_3d,-0.04122708771299858
index_return_1d,-0.041258974175728894
index_return_5d,-0.041403904601801655
min_low_5d,-0.041639973616124044
min_low_15d,-0.04238194476203688
min_low_10d,-0.042419085453912674
earnings_q3,-0.0438304719658821
index_return_10d,-0.046591030041720556
index_return_3d,-0.04721001123601793
index_return_30d,-0.052346046781674156
index_return_15d,-0.05777658200184378
index_return_20d,-0.06147385617435373
