feature,correlation
parkinson_vol_10d,0.06144913720999647
gk_vol_10d,0.060134712724193275
parkinson_vol_5d,0.05572687763699597
parkinson_vol_20d,0.05533826103791696
gk_vol_20d,0.0547678388274641
volatility_10d,0.05465342665848846
gk_vol_5d,0.05456625512926643
dist_from_vwap_support_1,0.05399956908519367
volatility_15d,0.05321448980864209
volatility_20d,0.0511076923610669
volatility_30d,0.04995787559200659
earnings_q2,0.04973255974613332
dist_from_vwap_support_2,0.048454465556292216
price_range_pct,0.0440682980755417
volatility_5d,0.042084569478382426
dist_from_vwap_support_3,0.03656641068966708
volatility_3d,0.03652796381807255
dist_from_vwap_resistance_1,0.031171209521931895
adx,0.03084382378977084
body_size_pct,0.02957035737608843
vol_regime_10d,0.02906753718378264
dist_from_vwap_resistance_2,0.028451726076027077
earnings_q4,0.024186351745876095
dist_from_vwap_resistance_3,0.01659573730949645
rsi_14,0.015245416094024999
return_20d,0.014819605561338316
vol_ratio_park_gk_10d,0.014208705155395778
return_1d,0.013989278498353066
return_15d,0.013871014655657555
price_position_15d,0.013499542748746377
return_30d,0.013302182324049672
volume_ratio_20d,0.013165475768286533
rel_volume,0.01305762387662299
log_return_1d,0.01271637686300851
index_return_1d,0.012689067848146718
rel_return_30d,0.01173150136200255
stoch_d,0.011573148942186936
vol_ratio_std_park_10d,0.011272491113334327
price_position_10d,0.011017797336892407
return_10d,0.010866443968240665
rel_return_20d,0.010824670592282768
rel_return_1d,0.01079924336276104
weekday_1,0.010597196137554627
volume_ratio_5d,0.010584026711455051
dist_from_sma_20d,0.010189267705915349
volume_ratio_10d,0.010145764729966481
volume_ratio_3d,0.01014215280074528
rel_strength_20d,0.009965824331005608
price_position_5d,0.009744996843022576
rel_return_10d,0.009739417178380151
index_return_15d,0.009685612943583563
earnings_q3,0.00964806455183242
stoch_k,0.009639790675403881
close_position,0.009438546302873548
rel_strength_10d,0.009212934860004674
price_position_3d,0.0092048473487635
rel_return_15d,0.009070867329877233
index_return_3d,0.008286420089047553
dist_from_sma_15d,0.007826504117695594
dist_from_ema_20d,0.00777741433545053
dist_from_sma_3d,0.007702876758921223
return_5d,0.00698792040122014
dist_from_sma_10d,0.006960551206158883
index_return_20d,0.006365473463129883
dist_from_ema_10d,0.006054538173970574
volume,0.005981348621892189
dist_from_ema_5d,0.0057825745817292225
rel_return_5d,0.005308014275580455
dist_from_sma_5d,0.005259755416143963
weekday_0,0.005227770598420359
rel_strength_5d,0.005050649321030571
volume_sma_3d,0.004871549663145427
bullish_candle,0.004123539133166995
index_return_5d,0.0038216520584462193
volume_sma_5d,0.0037474465617825387
volume_sma_10d,0.00288851881401706
volume_sma_20d,0.002672702851734031
index_return_10d,0.0018946730951273547
consecutive_bearish,0.00171098851435576
return_3d,0.0016253676329777685
lower_shadow_ratio,0.0011117265585579958
doji_candle,0.0007660705647826578
volume_pct_change,0.00018782538847627721
weekday_2,-0.00012589929026689248
upper_shadow_ratio,-0.00029631739074589044
body_ratio,-0.0005742587052348329
rel_return_3d,-0.0006847678267556191
index_return_30d,-0.0008126551997708159
macd,-0.0012255127774145357
bullish_engulfing,-0.003009672703673267
weekday_4,-0.003858849643560207
bearish_engulfing,-0.005141247964254496
consecutive_bullish,-0.007457467719992979
weekday_3,-0.010091196093162105
bearish_candle,-0.0103830277117986
lower_shadow,-0.012930816487947394
upper_shadow,-0.017293507453491844
body_size,-0.018114050913772724
candle_range,-0.02063677027813052
price_range,-0.02063677027813052
atr,-0.02728276717151729
vwap_resistance_3,-0.029996179321340286
vwap_support_3,-0.03366380620467957
vwap_resistance_2,-0.03394721776774735
vwap_resistance_1,-0.036471329259757095
max_high_10d,-0.03943745099854018
max_high_15d,-0.039657958912639076
sma_10d,-0.0398998764299995
max_high_5d,-0.039924694261733173
bb_upper,-0.04011337700575947
sma_15d,-0.04017843582280117
max_high_3d,-0.040268158202176406
max_high_20d,-0.04029352646268174
sma_5d,-0.04037893562524149
high,-0.04054482633967393
min_low_10d,-0.040589751430562704
ema_10d,-0.04059854100336414
ema_5d,-0.04063701219784583
sma_3d,-0.04064605443635802
open,-0.040656422665844905
ema_20d,-0.040705693172975295
close,-0.040766645503483565
min_low_5d,-0.04089716696132188
low,-0.04094290385958915
max_high_30d,-0.04095340091515339
sma_20d,-0.04095970142587786
min_low_3d,-0.04099916575902056
min_low_15d,-0.041093570810417125
vwap_support_2,-0.0411860360656629
vwap_support_1,-0.04342114920584003
earnings_q1,-0.07966473868584158
