feature,importance
parkinson_vol_20d,68
bb_upper,67
price_range_pct,49
parkinson_vol_5d,47
parkinson_vol_10d,35
earnings_q1,24
earnings_q2,10
vwap_support_1,4
vwap_support_2,3
dist_from_vwap_support_1,0
dist_from_vwap_support_2,0
