feature,correlation
earnings_q1,0.12576187034020148
volatility_30d,0.07436219618760483
parkinson_vol_20d,0.07286439060701241
gk_vol_20d,0.07105027003897492
volatility_20d,0.06798216089382936
parkinson_vol_10d,0.06442463881880896
gk_vol_10d,0.06412631933744894
parkinson_vol_5d,0.06253744646985783
gk_vol_5d,0.062445796771724287
volatility_15d,0.06161492211217767
volatility_10d,0.05747072512258211
volatility_5d,0.053071842381243406
price_range_pct,0.05279024660326094
volatility_3d,0.044680328042653095
body_size_pct,0.03887880025312625
rel_return_30d,0.03190161498660819
vol_regime_10d,0.0306339428585094
rel_return_15d,0.030035180989362736
rel_return_20d,0.028486553671085893
rel_strength_20d,0.027375283683695892
rel_return_10d,0.027262540015786343
vwap_support_1,0.026751333703961953
rel_strength_10d,0.026536274143893646
rel_return_5d,0.02394764085576379
rel_strength_5d,0.023402477123707615
rel_return_3d,0.019936312082401503
vwap_resistance_1,0.016315805113737508
volume_sma_5d,0.015330523793749913
volume_sma_10d,0.014867419527712271
volume,0.014688971379166211
volume_sma_20d,0.014659902511515761
volume_sma_3d,0.013865252344200807
volume_ratio_10d,0.01365590646670201
return_30d,0.013456788673767914
vwap_support_2,0.01276855253103494
volume_ratio_20d,0.011791938781779464
rel_volume,0.011651946747700346
volume_pct_change,0.011587188865582809
return_5d,0.011058584070249547
vol_ratio_std_park_10d,0.01093040562916439
body_ratio,0.01031654146739126
dist_from_sma_10d,0.009442250745516053
return_10d,0.009126984623680631
dist_from_vwap_resistance_2,0.008985188925436965
dist_from_vwap_resistance_3,0.008927375873241512
volume_ratio_5d,0.008878785607195487
return_15d,0.008773379979718965
return_3d,0.00847628269477366
dist_from_sma_15d,0.007892858608889233
rel_return_1d,0.007795551187481764
weekday_3,0.007457219283963972
return_20d,0.006891546209817992
dist_from_ema_10d,0.006727574935592423
dist_from_ema_20d,0.006653144482323672
dist_from_sma_20d,0.0065245123746414104
bearish_candle,0.0057799758174238445
dist_from_sma_5d,0.005685930100906488
vol_ratio_park_gk_10d,0.005619700212469736
dist_from_ema_5d,0.005057762240647295
volume_ratio_3d,0.004720413508583315
vwap_support_3,0.0033308016532643515
dist_from_vwap_resistance_1,0.0024622652226639163
dist_from_sma_3d,0.0021115455426399046
consecutive_bearish,0.0015484306862113006
weekday_2,0.0012725247006202974
body_size,0.001050721528844202
vwap_resistance_2,0.0007770280156969822
return_1d,-0.0006197465633975929
bullish_engulfing,-0.0009424416202059685
bearish_engulfing,-0.0011392972769574399
dist_from_vwap_support_3,-0.001436359160087127
weekday_0,-0.0015060461322546506
consecutive_bullish,-0.0016331090184958565
log_return_1d,-0.0016788345150160883
doji_candle,-0.0025996769915255184
upper_shadow_ratio,-0.003408093693495053
price_position_10d,-0.00414971191269485
price_position_5d,-0.004708119304858882
candle_range,-0.004930019029079821
price_range,-0.004930019029079821
weekday_4,-0.00511628768258799
weekday_1,-0.005355019890476113
bullish_candle,-0.006036786711646757
upper_shadow,-0.007142977752684534
close_position,-0.007883299105153958
price_position_15d,-0.007977534607472057
stoch_k,-0.00809127876208492
vwap_resistance_3,-0.008283240220653014
price_position_3d,-0.008372997181259209
adx,-0.008431588044305589
lower_shadow_ratio,-0.010009196353943765
lower_shadow,-0.010346756435957538
macd,-0.0105402866670787
rsi_14,-0.011833086567659128
stoch_d,-0.01198515333092554
atr,-0.013529006251994973
dist_from_vwap_support_2,-0.014657045453829474
index_return_1d,-0.016978997862744972
dist_from_vwap_support_1,-0.02428619101898111
index_return_3d,-0.024984859736463718
max_high_30d,-0.026405606431080263
earnings_q4,-0.026979864263575563
max_high_20d,-0.027763807988640473
bb_upper,-0.02787721791558268
max_high_15d,-0.028903830849798272
sma_20d,-0.02902836496894434
max_high_10d,-0.029679011803363454
max_high_3d,-0.029698193335500816
max_high_5d,-0.029710226644314
high,-0.029866849243639762
ema_20d,-0.030024673804991867
sma_15d,-0.030074394655976475
ema_10d,-0.03015189465810306
close,-0.030186646043779387
ema_5d,-0.030198433128435547
open,-0.030214777980595492
sma_3d,-0.03030724290384993
sma_5d,-0.030458878979619183
low,-0.0305179880548386
sma_10d,-0.030730771528734636
min_low_3d,-0.030840764304580503
min_low_15d,-0.031081783904730452
min_low_5d,-0.031151256559057636
min_low_10d,-0.031729591658127165
index_return_5d,-0.03223059135422166
earnings_q3,-0.04324723590896761
index_return_10d,-0.046670471766499196
index_return_30d,-0.053724175503032025
index_return_15d,-0.05831260524045826
earnings_q2,-0.06139401817383149
index_return_20d,-0.06302785674009234
