feature,selectk_score
parkinson_vol_5d,3140.6642128751814
parkinson_vol_10d,2894.2090300885907
parkinson_vol_20d,2704.1653762074534
price_range_pct,2529.7476815959967
body_size_pct,1480.7774066947154
index_return_5d,1044.3258267043357
vol_regime_10d,976.6675074713611
index_return_20d,828.8143959007461
index_return_15d,792.2661086101893
index_return_30d,750.8251105080353
index_return_10d,747.084725046317
earnings_q1,569.956090505562
index_return_3d,498.9055877819962
adx,411.96938699545893
weekday_4,392.72951575935247
min_low_15d,374.7498306935731
rel_return_30d,333.2820757848732
volume_ratio_20d,331.0189243948324
index_return_1d,301.7734101448303
