feature,selectk_score
earnings_q1,958.7944501684032
dist_from_vwap_support_1,495.5165381993375
earnings_q2,395.4951038438717
dist_from_vwap_support_2,372.1366655074876
vwap_support_1,265.0865700611359
dist_from_vwap_support_3,215.22156927026734
vwap_support_2,208.39741513785816
price_range_pct,200.53610332492866
dist_from_vwap_resistance_1,166.74513396046677
vwap_resistance_1,155.02230509679018
adx,152.7224525346662
dist_from_vwap_resistance_2,150.90671449258477
volatility_15d,150.36450991574688
volatility_30d,144.76665523414158
vwap_support_3,144.17477810491422
volatility_10d,140.9204512610283
volatility_20d,130.59593935927666
vwap_resistance_2,125.49379081340682
max_high_10d,116.34986599508098
vwap_resistance_3,110.43544495311359
volatility_5d,107.82848389145714
volatility_3d,103.79863132294531
