feature,selectk_score
earnings_q1,1356.438971839272
parkinson_vol_20d,787.6676668056642
gk_vol_10d,663.5340179025274
gk_vol_5d,616.0936259963006
price_range_pct,450.1745116590171
index_return_20d,316.225889780833
index_return_15d,288.4588038249158
index_return_30d,247.59121740457718
earnings_q3,209.25613535028248
body_size_pct,207.0431195833665
earnings_q2,201.5819064294345
vol_regime_10d,168.93098569539976
index_return_10d,161.2656072651956
