feature,correlation
parkinson_vol_10d,0.07627241546581294
gk_vol_10d,0.07503708137025343
parkinson_vol_20d,0.07178910230381838
gk_vol_20d,0.07106368984774461
parkinson_vol_5d,0.06889637173744899
gk_vol_5d,0.06774340863409786
volatility_10d,0.0654109892058192
volatility_30d,0.06529678860237251
volatility_15d,0.06516379571039166
volatility_20d,0.06451552940109623
price_range_pct,0.05157663145336915
volatility_5d,0.051478031007411204
earnings_q2,0.04359346397813624
volatility_3d,0.04183815885158833
vol_regime_10d,0.03777996998751445
adx,0.03554619783240177
body_size_pct,0.034159805184007734
dist_from_vwap_support_1,0.02724013362406674
dist_from_vwap_support_2,0.023979179733418517
return_1d,0.023423894116354687
log_return_1d,0.022008250879296743
index_return_1d,0.02144268150735155
price_position_3d,0.021368868252023224
earnings_q4,0.02059328337632864
rel_return_30d,0.018773601351113275
price_position_5d,0.017785583517738235
rel_return_1d,0.01711651041978234
dist_from_sma_3d,0.017106284923526723
close_position,0.016891835900230905
rel_return_20d,0.015683001298081305
dist_from_vwap_support_3,0.015665775862682734
return_20d,0.015567880648385489
vol_ratio_park_gk_10d,0.015143632103959546
return_30d,0.015037787092445833
rel_strength_20d,0.014537455918233612
index_return_3d,0.013820356055048015
rel_return_10d,0.013714310051755064
rel_strength_10d,0.012988523306368734
volume_ratio_20d,0.012918746846640074
rel_volume,0.012785738353451861
return_10d,0.012249940021564027
dist_from_sma_5d,0.012218873541693358
rel_return_15d,0.01211261634424402
price_position_10d,0.011867641031006893
return_15d,0.011166590460821689
volume,0.01107669547315387
dist_from_ema_5d,0.01076408701531225
rsi_14,0.0107467138211109
volume_ratio_3d,0.01072860408222212
dist_from_vwap_resistance_1,0.010267254428313267
volume_ratio_5d,0.010212195666956393
price_position_15d,0.01011217932765161
volume_sma_3d,0.009696928504417548
vol_ratio_std_park_10d,0.009342115161046112
dist_from_sma_20d,0.009322467040372586
return_3d,0.00899131943198977
bullish_candle,0.008973259022304506
volume_sma_5d,0.00878591469363387
weekday_0,0.008629627869244334
volume_ratio_10d,0.008502915542840103
dist_from_sma_10d,0.008500883247292526
dist_from_ema_20d,0.007993984161105826
dist_from_ema_10d,0.007922831040622658
volume_sma_10d,0.007905503905436853
volume_sma_20d,0.007778833925740457
dist_from_sma_15d,0.0076439774868174255
return_5d,0.007222717380453774
dist_from_vwap_resistance_2,0.006751187200272441
rel_return_5d,0.005805601150030554
rel_strength_5d,0.0053503534265251255
rel_return_3d,0.005012289388657701
weekday_1,0.003927121482921931
index_return_5d,0.0033724504546663145
doji_candle,0.003250751140230041
lower_shadow_ratio,0.002484065767250315
volume_pct_change,0.0012201090741124176
stoch_k,0.00027472926921311613
earnings_q3,-0.00032672858354414425
upper_shadow_ratio,-0.0008708986892948847
dist_from_vwap_resistance_3,-0.0009256170874821117
body_ratio,-0.0011062812712688025
weekday_2,-0.001502304302718031
stoch_d,-0.0016129730166985234
consecutive_bullish,-0.0018516111505671891
weekday_4,-0.002772994841988761
index_return_20d,-0.0035354780071701866
index_return_10d,-0.0040565856877332026
bullish_engulfing,-0.005022496327575669
index_return_15d,-0.005271822452175052
bearish_engulfing,-0.006132444588295201
consecutive_bearish,-0.006277813623345749
macd,-0.006788912690740382
weekday_3,-0.009076626749708097
lower_shadow,-0.013062060709688005
index_return_30d,-0.013743840716120071
bearish_candle,-0.017776694082661304
body_size,-0.017839926789604194
upper_shadow,-0.01879649328323162
vwap_resistance_3,-0.019907230713930094
price_range,-0.020981801023300897
candle_range,-0.020981801023300897
vwap_resistance_2,-0.021645067966992084
vwap_resistance_1,-0.02305720843348219
vwap_support_3,-0.026589221000733434
atr,-0.02750175552223211
vwap_support_2,-0.031103777025750453
vwap_support_1,-0.03310162241580414
max_high_10d,-0.044808708608591694
max_high_15d,-0.044864922946267996
bb_upper,-0.04516064760515041
max_high_20d,-0.045331072825339803
sma_10d,-0.04555609319612685
max_high_5d,-0.04568232237273839
sma_15d,-0.0456979403885259
max_high_30d,-0.045713627167288336
max_high_3d,-0.046038516964115365
ema_20d,-0.04619803958774655
ema_10d,-0.04621434240699427
high,-0.04627041425756688
sma_20d,-0.04629312876095205
sma_5d,-0.046296741303538044
ema_5d,-0.04637090304524689
open,-0.0464343114574689
sma_3d,-0.04652675391275974
close,-0.04656661200090672
min_low_10d,-0.04657281132622548
low,-0.04681422584142362
min_low_15d,-0.04694725499463457
min_low_5d,-0.04696155660807455
min_low_3d,-0.047040061590094294
earnings_q1,-0.06078479856830632
