Feature,RF_Rank,LGBM_Rank,Avg_Rank
return_90,1,1,1.0
trix,2,3,2.5
di_minus_14,5,9,7.0
return_180,12,2,7.0
sma_200,9,7,8.0
return_365,13,4,8.5
return_55,14,6,10.0
macd_histogram,7,14,10.5
natr,16,5,10.5
cci_20,3,22,12.5
rsi_14_lag10,11,15,13.0
adx_14,18,10,14.0
roc,4,26,15.0
stochastic_d,8,24,16.0
macd_line_lag10,15,17,16.0
ultosc,23,13,18.0
williams_r,10,27,18.5
macd_signal,17,21,19.0
stochastic_k,6,33,19.5
mfi_14,21,18,19.5
stddev,28,12,20.0
di_plus_14,30,11,20.5
rsi_14,20,23,21.5
return_20,37,8,22.5
macd_line_lag5,27,20,23.5
rsi_14_lag5,32,16,24.0
macd_line,19,34,26.5
atr_14_lag1,24,29,26.5
atr_14_lag10,43,19,31.0
bollinger_lower,34,28,31.0
atr_14,35,31,33.0
atr_14_lag2,31,36,33.5
macd_line_lag1,25,42,33.5
macd_line_lag2,29,38,33.5
volume_lag10,48,25,36.5
rsi_14_lag1,26,48,37.0
close,39,35,37.0
sma_50,33,43,38.0
macd_line_lag3,22,54,38.0
atr_14_lag5,38,40,39.0
volume_change,54,30,42.0
ema_50,47,37,42.0
volume_lag5,53,32,42.5
high_low_range,46,39,42.5
rsi_14_lag2,41,45,43.0
rsi_14_lag3,42,44,43.0
volume,45,49,47.0
atr_14_lag3,44,50,47.0
close_open_range,49,47,48.0
volume_lag2,51,46,48.5
sma_20_lag10,40,57,48.5
price_change,57,41,49.0
var,36,71,53.5
volume_lag3,52,58,55.0
low,55,56,55.5
bollinger_upper,60,52,56.0
volume_lag1,62,53,57.5
ema_20,58,60,59.0
high,50,68,59.0
low_lag10,65,55,60.0
open_lag10,56,66,61.0
high_lag10,63,62,62.5
bop,64,63,63.5
sma_20,67,64,65.5
low_lag1,83,51,67.0
sma_20_lag3,66,73,69.5
sma_20_lag5,59,82,70.5
close_lag10,73,69,71.0
open_lag3,82,61,71.5
close_lag5,78,65,71.5
open_lag5,84,59,71.5
high_lag1,69,76,72.5
high_lag5,80,67,73.5
prev_volume,61,86,73.5
close_lag1,68,80,74.0
open,77,75,76.0
sma_20_lag2,70,84,77.0
sma_20_lag1,75,79,77.0
high_lag3,74,81,77.5
low_lag2,81,74,77.5
low_lag3,85,70,77.5
open_lag1,79,77,78.0
bollinger_middle,72,88,80.0
prev_close,71,89,80.0
open_lag2,89,72,80.5
low_lag5,76,87,81.5
high_lag2,88,78,83.0
close_lag3,87,83,85.0
close_lag2,86,85,85.5
