Feature,Importance,Std_Importance,Stability
nifty_corr_120d,85.4,22.142718893577637,0.7407175803946696
nifty_corr_20d,70.0,4.242640687119286,0.9393908481927123
day_of_month,60.6,9.09945053286186,0.8498440530906615
nifty_corr_60d,58.0,9.82344135219425,0.830630324434059
trix,56.0,13.435028842544403,0.760088774952979
corr_change,50.4,14.892951352905172,0.704504939337101
adx_14,49.4,4.159326868617085,0.9158031015299557
volume_oscillator,49.4,15.043270920913443,0.6954803518948625
di_minus_14,49.0,7.842193570679062,0.8399552365176673
bollinger_width,48.8,14.024977718342372,0.7126029214970226
month,48.4,27.537247502246842,0.4310486170806723
rsi_14_lag10,48.4,8.87693640846886,0.8165922267549363
natr,46.8,4.024922359499621,0.9139973873184399
di_plus_14,44.2,8.814760348415605,0.8005710373532433
sector_strength,43.8,8.983317872590282,0.7949014231166277
macd_line_lag15,43.6,8.61974477580398,0.8022994362820317
high_low_range,43.4,9.262828941527529,0.7865707666336799
return_ratio_20_5,42.6,8.17312669668102,0.8081425703093054
ultosc,41.2,2.5884358211089564,0.9371738893620668
dist_to_sma200,41.2,14.096098751072937,0.6578616891035285
return_120d,40.4,5.813776741499453,0.8560946386734136
macd_histogram,39.8,13.442470011125188,0.6622495056941031
return_60d,39.4,7.536577472566708,0.8087163126577913
stochastic_d,39.2,12.833549781724464,0.6726135343281123
rs_nifty_10d,38.2,2.387467277262664,0.9375008582522638
rs_nifty_120d,38.2,24.29403218899654,0.36403058761709095
rs_nifty_20d,38.2,6.099180272790761,0.8403355991328179
rsi_14_lag15,37.0,5.3385391260156565,0.8557151626559238
rs_nifty_5d,36.8,10.134100848126586,0.7246168322624071
volume_lag20,36.4,7.92464510246358,0.7822899756935836
macd_line_lag20,36.2,13.809417076763232,0.618524400682662
mfi_14,36.0,8.803408430829505,0.7554608837141559
dist_to_lower_band,35.6,7.893034904268446,0.7782855426248879
macd_line_lag10,35.6,7.092249290598859,0.8007795199051018
volume_change,35.0,7.0710678118654755,0.7979694968618579
rsi_14_lag20,34.8,7.529940238806679,0.7836224131485893
dist_to_upper_band,34.0,11.269427669584644,0.6685462547608558
return_40d,33.8,9.731392500562292,0.7120889877913823
roc,33.4,7.3688533707762165,0.7793756541870698
return_3d,33.0,3.535533905932738,0.8928626121577167
vpci_20d,32.8,6.723094525588644,0.7950276121763336
bop,30.6,8.848728722251575,0.7108258682000836
rs_nifty_60d,30.6,8.792041856133308,0.7126783801041932
stochastic_k,30.0,9.486832980505138,0.6837722445240872
volume_roc_5d,29.8,6.220932405998317,0.7912438859985838
volume_ratio_20d,29.0,9.669539802906858,0.6665676045008806
cci_20,28.8,3.96232255123179,0.8624193606371129
rsi_14_lag5,28.6,5.412947441089743,0.8107361100760191
return_20d,28.4,7.797435475847172,0.7254424224898031
stddev,28.4,5.639148871948674,0.801438426993412
eom_14d,27.8,4.207136793592526,0.8486641495591124
volume_roc_10d,26.8,5.263078946776307,0.8036164645375832
close_open_range,26.6,0.8944271909999154,0.9663749188956829
williams_r,26.6,12.421755109484328,0.5330167427631176
rsi_14_lag3,25.8,9.934787365615833,0.6149307371881174
volume_lag15,24.8,8.043631020876083,0.6756600525590268
price_acceleration,24.2,7.9498427657407165,0.67149411416385
atr_14_lag15,23.4,9.20869154657707,0.6064661900408863
volume_lag10,23.2,8.34865258589672,0.64014430060168
macd_line,22.4,3.646916505762094,0.8371912346895836
rsi_14,22.4,3.7815340802378072,0.8311815218116371
volume_lag2,22.4,8.706319543871567,0.6113250377144372
macd_line_lag1,21.6,11.970797801316335,0.4457964237447798
volume,21.4,7.092249290598858,0.6685864972343292
price_change,21.2,3.96232255123179,0.813098001682557
return_consistency,21.0,7.176350047203662,0.658269061644156
macd_line_lag5,21.0,7.44983221287567,0.6452461019942013
rsi_14_lag2,20.8,13.198484761517134,0.36545749389545057
macd_signal,20.0,4.847679857416329,0.7576160192483826
volume_lag3,19.8,4.658325879540847,0.764731028067077
return_5d,19.8,6.723094525588644,0.6604497885839176
zscore_20d,19.4,5.639148871948675,0.7093222380788189
atr_14_lag20,18.2,2.5884358211089573,0.8577782594018013
volume_lag1,18.2,7.5960516059331775,0.5826345500786962
sma_200,18.2,5.932958789676531,0.6740132712258351
nifty_corr_full,17.8,6.870225614927067,0.6140322905079013
macd_line_lag2,16.8,5.761944116355173,0.6570271563462899
cmf_20d,16.8,5.761944116355173,0.6570271563462899
macd_line_lag3,15.6,5.176871642217914,0.6681492749764623
atr_14_lag10,15.2,7.293833011524188,0.5201425966008694
atr_14_lag5,15.0,5.291502622129181,0.647233182042509
volume_lag5,14.8,3.193743884534263,0.7842065088688668
