Stock Name,NSE Code,Market Capitalization
Chennai Petroleum Corporation Ltd.,CHENNPETRO,6724.84
IIFL Capital Services Ltd.,IIFLCAPS,6731.11
Orient Cement Ltd.,ORIENTCEM,6759.4
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,6796.56
Shipping Corporation of India Ltd.,SCI,6797.87
Ajax Engineering Ltd.,AJAXENGG,6807.78
Cera Sanitaryware Ltd.,CERA,6824.39
ISGEC Heavy Engineering Ltd.,ISGEC,6838.61
Prudent Corporate Advisory Services Ltd.,PRUDENT,6851.36
Mastek Ltd.,MASTEK,6873.21
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,6889.31
Transport Corporation of India Ltd.,TCI,6909.35
HEG Ltd.,HEG,6916.31
Sansera Engineering Ltd.,SANSERA,6926.57
Transrail Lighting Ltd.,TRANSRAILL,6942.38
Anupam Rasayan India Ltd.,ANURAS,6952.06
Bajaj Electricals Ltd.,BAJAJELEC,6959.18
Epigral Ltd.,EPIGRAL,6960.2
Esab India Ltd.,ESABINDIA,6964.33
Shaily Engineering Plastics Ltd.,SHAILY,6965.44
Healthcare Global Enterprises Ltd.,HCG,6992.33
Honasa Consumer Ltd.,HONASA,6997.68
eMudhra Ltd.,EMUDHRA,7033.2
GMR Power and Urban Infra Ltd.,GMRP&UI,7056.15
Paradeep Phosphates Ltd.,PARADEEP,7083.36
Just Dial Ltd.,JUSTDIAL,7145.51
ASK Automotive Ltd.,ASKAUTOLTD,7162.19
Akums Drugs & Pharmaceuticals Ltd.,AKUMS,7169.3
CarTrade Tech Ltd.,CARTRADE,7250.85
JK Tyre & Industries Ltd.,JKTYRE,7257.42
Symphony Ltd.,SYMPHONY,7293.59
P N Gadgil Jewellers Ltd.,PNGJL,7300.43
PowerGrid Infrastructure Investment Trust,PGINVIT,7307.29
Ion Exchange (India) Ltd.,IONEXCHANG,7331.86
Syrma SGS Technology Ltd.,SYRMA,7373.07
MMTC Ltd.,MMTC,7392
Gallantt Ispat Ltd.,GALLANTT,7397.67
Religare Enterprises Ltd.,RELIGARE,7431.77
KPI Green Energy Ltd.,KPIGREEN,7447.39
Zinka Logistics Solutions Ltd.,BLACKBUCK,7459.75
Garware Technical Fibres Ltd.,GARFIBRES,7473.72
Birla Corporation Ltd.,BIRLACORPN,7489.54
Aurionpro Solutions Ltd.,AURIONPRO,7518.7
CMS Info Systems Ltd.,CMSINFO,7525.45
Azad Engineering Ltd.,AZAD,7529.52
Tips Music Ltd.,TIPSMUSIC,7555.49
Alok Industries Ltd.,ALOKINDS,7626.61
Triveni Engineering & Industries Ltd.,TRIVENI,7636.26
Graphite India Ltd.,GRAPHITE,7647.98
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,7676.52
Can Fin Homes Ltd.,CANFINHOME,7691.65
CCL Products India Ltd.,CCL,7747.29
Sheela Foam Ltd.,SFL,7747.4
Genus Power Infrastructures Ltd.,GENUSPOWER,7765.36
Galaxy Surfactants Ltd.,GALAXYSURF,7772.4
India Shelter Finance Corporation Ltd.,INDIASHLTR,7842.55
India Cements Ltd.,INDIACEM,7852.8
JK Lakshmi Cement Ltd.,JKLAKSHMI,7902.72
Latent View Analytics Ltd.,LATENTVIEW,7913.02
Happy Forgings Ltd.,HAPPYFORGE,7946.97
Campus Activewear Ltd.,CAMPUS,7960.21
Nazara Technologies Ltd.,NAZARA,7980.53
Redtape Ltd.,REDTAPE,8007.42
Data Patterns (India) Ltd.,DATAPATTNS,8049.1
RHI Magnesita India Ltd.,RHIM,8088.66
Vesuvius India Ltd.,VESUVIUS,8093.58
Va Tech Wabag Ltd.,WABAG,8106.52
Mrs. Bectors Food Specialities Ltd.,BECTORFOOD,8109.77
Time Technoplast Ltd.,TIMETECHNO,8111.58
Metropolis Healthcare Ltd.,METROPOLIS,8125.49
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,8134.97
Shriram Pistons & Rings Ltd.,SHRIPISTON,8139.3
Star Cement Ltd.,STARCEMENT,8162.83
Maharashtra Seamless Ltd.,MAHSEAMLES,8211.48
Netweb Technologies India Ltd.,NETWEB,8236.91
Jindal Worldwide Ltd.,JINDWORLD,8291.52
Procter & Gamble Health Ltd.,PGHL,8356.22
Kirloskar Oil Engines Ltd.,KIRLOSENG,8362.77
Reliance Infrastructure Ltd.,RELINFRA,8396
Engineers India Ltd.,ENGINERSIN,8440.75
Edelweiss Financial Services Ltd.,EDELWEISS,8468.02
Medplus Health Services Ltd.,MEDPLUS,8553.32
Saregama India Ltd.,SAREGAMA,8555.92
TTK Prestige Ltd.,TTKPRESTIG,8556.47
Raymond Ltd.,RAYMOND,8610.31
Inox India Ltd.,INOXINDIA,8704.22
Allied Blenders & Distillers Ltd.,ABDL,8719.97
Garware Hi-Tech Films Ltd.,GRWRHITECH,8760.47
Olectra Greentech Ltd.,OLECTRA,8796.18
Tega Industries Ltd.,TEGA,8801.65
JM Financial Ltd.,JMFINANCIL,8821.48
PVR INOX Ltd.,PVRINOX,8876.18
Ami Organics Ltd.,AMIORG,8877.26
Arvind Ltd.,ARVIND,8879.56
Quess Corp Ltd.,QUESS,8886.48
Zee Entertainment Enterprises Ltd.,ZEEL,8941.48
Balrampur Chini Mills Ltd.,BALRAMCHIN,8969.51
Praj Industries Ltd.,PRAJIND,8978.35
Usha Martin Ltd.,USHAMART,9012.74
RailTel Corporation of India Ltd.,RAILTEL,9023.18
Ganesh Housing Corporation Ltd.,GANESHHOUC,9027.9
C.E. Info Systems Ltd.,MAPMYINDIA,9059.86
Home First Finance Company India Ltd.,HOMEFIRST,9150.16
Jaiprakash Power Ventures Ltd.,JPPOWER,9156.22
Sammaan Capital Ltd.,SAMMAANCAP,9156.35
ITD Cementation India Ltd.,ITDCEM,9216.4
Intellect Design Arena Ltd.,INTELLECT,9238.96
Marksans Pharma Ltd.,MARKSANS,9275.81
Elecon Engineering Company Ltd.,ELECON,9294.64
Choice International Ltd.,CHOICEIN,9296.96
Titagarh Rail Systems Ltd.,TITAGARH,9386.76
Vijaya Diagnostic Centre Ltd.,VIJAYA,9398.92
Jupiter Life Line Hospitals Ltd.,JLHL,9413.31
Avanti Feeds Ltd.,AVANTIFEED,9437.05
Zen Technologies Ltd.,ZENTEC,9438.06
National Highways Infra Trust,NHIT,9552.74
SBFC Finance Ltd.,SBFC,9586.11
RBL Bank Ltd.,RBLBANK,9624.91
Lemon Tree Hotels Ltd.,LEMONTREE,9642.43
Shakti Pumps (India) Ltd.,SHAKTIPUMP,9713.02
Inox Wind Energy Ltd.,IWEL,9714.46
G R Infraprojects Ltd.,GRINFRA,9725.79
Jubilant Ingrevia Ltd.,JUBLINGREA,9814.9
Rites Ltd.,RITES,9830.75
Zydus Wellness Ltd.,ZYDUSWELL,9934.88
Sapphire Foods India Ltd.,SAPPHIRE,9956.4
Ingersoll-Rand (India) Ltd.,INGERRAND,10017.79
R R Kabel Ltd.,RRKABEL,10065.92
Supreme Petrochem Ltd.,SPLPETRO,10089.36
Sonata Software Ltd.,SONATSOFTW,10123.34
BEML Ltd.,BEML,10222.06
Ceat Ltd.,CEATLTD,10243.99
Welspun Living Ltd.,WELSPUNLIV,10255.26
NMDC Steel Ltd.,NSLNISP,10374.34
Jammu & Kashmir Bank Ltd.,J&KBANK,10439.21
Safari Industries (India) Ltd.,SAFARI,10441.4
Happiest Minds Technologies Ltd.,HAPPSTMNDS,10450.62
Sanofi Consumer Healthcare India Ltd.,SANOFICONR,10484.45
Maharashtra Scooters Ltd.,MAHSCOOTER,10552.65
Godawari Power & Ispat Ltd.,GPIL,10586.72
Finolex Industries Ltd.,FINPIPE,10597.12
Relaxo Footwears Ltd.,RELAXO,10634.66
Westlife Foodworld Ltd.,WESTLIFE,10651.22
KSB Ltd.,KSB,10738.22
IFCI Ltd.,IFCI,10739.25
Craftsman Automation Ltd.,CRAFTSMAN,10739.43
Fine Organic Industries Ltd.,FINEORG,10740.66
Alivus Life Sciences Ltd.,ALIVUS,10842.56
City Union Bank Ltd.,CUB,10951.77
Vardhman Textiles Ltd.,VTL,10979.97
NCC Ltd.,NCC,10987.32
Nuvoco Vistas Corporation Ltd.,NUVOCO,11195.06
Granules India Ltd.,GRANULES,11198.36
Techno Electric & Engineering Company Ltd.,TECHNOE,11328.16
Aether Industries Ltd.,AETHER,11341.1
HFCL Ltd.,HFCL,11424.53
Minda Corporation Ltd.,MINDACORP,11482.98
Sanofi India Ltd.,SANOFI,11541.9
NAVA Ltd.,NAVA,11547.11
Bombay Burmah Trading Corporation Ltd.,BBTC,11569.23
Transformers & Rectifiers (India) Ltd.,TARIL,11572.89
Great Eastern Shipping Company Ltd.,GESHIP,11574.14
Tata Teleservices (Maharashtra) Ltd.,TTML,11635.73
ACME Solar Holdings Ltd.,ACMESOLAR,11684.25
IndiGrid Infrastructure Trust,INDIGRID,11710.52
Ramkrishna Forgings Ltd.,RKFORGE,11714.3
Birlasoft Ltd.,BSOFT,11765.58
Gravita India Ltd.,GRAVITA,11770.24
Whirlpool of India Ltd.,WHIRLPOOL,11774.34
LT Foods Ltd.,LTFOODS,11790.97
IndiaMART InterMESH Ltd.,INDIAMART,11796.01
EID Parry (India) Ltd.,EIDPARRY,11806.26
Jyothy Labs Ltd.,JYOTHYLAB,11839
Jai Balaji Industries Ltd.,JAIBALAJI,11953.23
HBL Engineering Ltd.,HBLENGINE,12005.31
Deepak Fertilisers & Petrochemicals Corporation Ltd.,DEEPAKFERT,12032.36
UTI Asset Management Company Ltd.,UTIAMC,12039.78
Sobha Ltd.,SOBHA,12114.03
JBM Auto Ltd.,JBMA,12214.93
Mahanagar Gas Ltd.,MGL,12223.75
Cello World Ltd.,CELLO,12234.82
Indegene Ltd.,INDGN,12299.62
Jupiter Wagons Ltd.,JWL,12316.81
Finolex Cables Ltd.,FINCABLES,12492.85
Action Construction Equipment Ltd.,ACE,12507.31
Tejas Networks Ltd.,TEJASNET,12512.56
Rainbow Childrens Medicare Ltd.,RAINBOW,12588.35
Kirloskar Brothers Ltd.,KIRLOSBROS,12675.65
Clean Science & Technology Ltd.,CLEAN,12680.23
Swan Energy Ltd.,SWANENERGY,12789.04
IIFL Finance Ltd.,IIFL,12816.16
Ventive Hospitality Ltd.,VENTIVE,13017.52
TBO Tek Ltd.,TBOTEK,13039.77
Blue Jet Healthcare Ltd,BLUEJET,13079.29
Trident Ltd.,TRIDENT,13142.47
Capri Global Capital Ltd.,CGCL,13175.94
Newgen Software Technologies Ltd.,NEWGEN,13259.66
Ircon International Ltd.,IRCON,13323.35
Niva Bupa Health Insurance Company Ltd.,NIVABUPA,13331.81
Aavas Financiers Ltd.,AAVAS,13341.11
Reliance Power Ltd.,RPOWER,13360.45
V-Guard Industries Ltd.,VGUARD,13474.18
eClerx Services Ltd.,ECLERX,13503.65
PCBL Chemical Ltd.,PCBL,13513.16
Elgi Equipments Ltd.,ELGIEQUIP,13566.87
Kajaria Ceramics Ltd.,KAJARIACER,13574.78
Equinox India Developments Ltd.,EMBDL,13585.53
Neuland Laboratories Ltd.,NEULANDLAB,13613.81
Aarti Industries Ltd.,AARTIIND,13630.75
Godrej Agrovet Ltd.,GODREJAGRO,13749.57
Natco Pharma Ltd.,NATCOPHARM,13804
Caplin Point Laboratories Ltd.,CAPLIPOINT,13853.13
Indian Energy Exchange Ltd.,IEX,13904.16
BLS International Services Ltd.,BLS,13960.08
Cyient Ltd.,CYIENT,14056.17
KIOCL Ltd.,KIOCL,14090.71
Akzo Nobel India Ltd.,AKZOINDIA,14164.17
OneSource Specialty Pharma Ltd.,ONESOURCE,14168.72
Blue Dart Express Ltd.,BLUEDART,14230.45
CIE Automotive India Ltd.,CIEINDIA,14265.92
Sai Life Science Ltd.,SAILIFE,14354.71
Jubilant Pharmova Ltd.,JUBLPHARMA,14378.3
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,14387.73
LMW Ltd.,LMW,14594.1
DOMS Industries Ltd.,DOMS,14604.68
Alembic Pharmaceuticals Ltd.,APLLTD,14617.41
Schneider Electric Infrastructure Ltd.,SCHNEIDER,14634.36
CreditAccess Grameen Ltd.,CREDITACC,14665.77
Signatureglobal (India) Ltd.,SIGNATURE,14685.48
DCM Shriram Ltd.,DCMSHRIRAM,14939.27
Asahi India Glass Ltd.,ASAHIINDIA,14967.05
KFIN Technologies Ltd.,KFINTECH,14969.83
Kalpataru Projects International Ltd.,KPIL,15013.46
Afcons Infrastructure Ltd.,AFCONS,15193.18
PTC Industries Ltd.,PTCIL,15290.97
Gujarat State Petronet Ltd.,GSPL,15360.66
Aptus Value Housing Finance India Ltd.,APTUS,15371.78
Dr. Agarwals Health Care Ltd.,AGARWALEYE,15387.26
Triveni Turbine Ltd.,TRITURBINE,15448.82
Computer Age Management Services Ltd.,CAMS,15536.28
Atul Ltd.,ATUL,15631.68
Concord Biotech Ltd.,CONCORDBIO,15651.63
Bata India Ltd.,BATAINDIA,15694.49
Jindal Saw Ltd.,JINDALSAW,15760.68
Vinati Organics Ltd.,VINATIORGA,15806.41
Carborundum Universal Ltd.,CARBORUNIV,15836.1
Anant Raj Ltd.,ANANTRAJ,15838.09
Bikaji Foods International Ltd.,BIKAJI,15891.34
Grindwell Norton Ltd.,GRINDWELL,15919.88
Sarda Energy & Minerals Ltd.,SARDAEN,15982.25
Century Plyboards (India) Ltd.,CENTURYPLY,16028.67
Chalet Hotels Ltd.,CHALET,16101.26
Eris Lifesciences Ltd.,ERIS,16101.37
Karur Vysya Bank Ltd.,KARURVYSYA,16188.94
Aadhar Housing Finance Ltd.,AADHARHFC,16414.46
TVS Holdings Ltd.,TVSHLTD,16560.18
Anand Rathi Wealth Ltd.,ANANDRATHI,16608.48
AstraZeneca Pharma India Ltd.,ASTRAZEN,16746.62
Zensar Technologies Ltd.,ZENSARTECH,16769.37
Manappuram Finance Ltd.,MANAPPURAM,17009.95
Ratnamani Metals & Tubes Ltd.,RATNAMANI,17232.82
CESC Ltd.,CESC,17337.14
Redington Ltd.,REDINGTON,17536.76
International Gemmological Institute (India) Ltd.,IGIL,17586.74
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,17756.2
Amara Raja Energy & Mobility Ltd.,ARE&M,17920.93
JSW Holdings Ltd.,JSWHL,18162.94
Jyoti CNC Automation Ltd.,JYOTICNC,18163.15
Brookfield India Real Estate Trust,BIRET,18182.13
SKF India Ltd.,SKFINDIA,18244.11
KEC International Ltd.,KEC,18273.3
